"Disease ID","Entrez ID"
"D0228","472"
"D0228","580"
"D0228","5888"
"D0228","7517"
"D0231","487"
"D0233","5352"
"D0234","6331"
"D0235","4128"
"D0237","4609"
"D0238","23592"
"D0239","5961"
"D0240","712"
"D0240","713"
"D0240","714"
"D0240","716"
"D0240","717"
"D0240","3426"
"D0240","718"
"D0240","720"
"D0240","721"
"D0240","729"
"D0240","730"
"D0240","732"
"D0240","735"
"D0252","4436"
"D0252","4292"
"D0253","1277"
"D0254","8074"
"D0254","2591"
"D0255","6662"
"D0256","10216"
"D0257","7040"
"D0258","443"
"D0259","2264"
"D0259","2956"
"D0261","5921"
"D0262","1373"
"D0263","5373"
"D0263","4351"
"D0263","4247"
"D0264","1369"
"D0265","6392"
"D0267","9997"
"D0268","4634"
"D0268","70"
"D0268","4625"
"D0268","4000"
"D0268","7139"
"D0268","7273"
"D0268","1674"
"D0268","2070"
"D0268","6444"
"D0268","8048"
"D0268","8557"
"D0268","10060"
"D0268","1756"
"D0268","4633"
"D0268","859"
"D0268","4624"
"D0268","7134"
"D0268","7168"
"D0268","7137"
"D0268","4607"
"D0268","1355"
"D0268","85366"
"D0268","51422"
"D0268","5350"
"D0268","6901"
"D0269","5573"
"D0269","4626"
"D0271","788"
"D0272","6584"
"D0275","7276"
"D0276","6023"
"D0277","1409"
"D0277","1415"
"D0277","5309"
"D0277","8419"
"D0277","5080"
"D0277","1411"
"D0277","1420"
"D0277","3982"
"D0277","1421"
"D0277","3299"
"D0277","4284"
"D0277","1410"
"D0277","1414"
"D0277","2703"
"D0277","2700"
"D0279","889"
"D0283","966"
"D0284","925"
"D0287","2668"
"D0287","627"
"D0287","1908"
"D0287","8929"
"D0287","5979"
"D0289","1356"
"D0289","773"
"D0291","19"
"D0291","1471"
"D0292","2068"
"D0292","2073"
"D0292","2074"
"D0293","1593"
"D0294","12"
"D0295","5538"
"D0296","1200"
"D0296","1201"
"D0296","1203"
"D0296","54982"
"D0296","2055"
"D0296","5538"
"D0298","2261"
"D0299","1071"
"D0300","51099"
"D0301","3315"
"D0301","4359"
"D0301","1785"
"D0301","3236"
"D0301","54332"
"D0301","5376"
"D0301","9516"
"D0301","1959"
"D0301","4747"
"D0301","23095"
"D0301","9927"
"D0301","7879"
"D0301","2617"
"D0301","8898"
"D0301","81846"
"D0301","79628"
"D0301","10397"
"D0301","2705"
"D0302","55636"
"D0303","7021"
"D0304","1130"
"D0305","6452"
"D0306","50814"
"D0307","1118"
"D0308","1811"
"D0309","5244"
"D0310","5205"
"D0310","5244"
"D0310","8647"
"D0310","80270"
"D0313","3988"
"D0314","56172"
"D0315","8443"
"D0315","10682"
"D0315","415"
"D0316","2131"
"D0316","8013"
"D0316","2130"
"D0318","7080"
"D0319","23230"
"D0320","7080"
"D0323","1121"
"D0326","85358"
"D0327","1535"
"D0327","4687"
"D0327","4688"
"D0327","1536"
"D0328","546"
"D0329","4023"
"D0330","51128"
"D0331","27019"
"D0331","1767"
"D0332","114548"
"D0334","3875"
"D0334","3856"
"D0334","84916"
"D0335","445"
"D0335","10165"
"D0336","5818"
"D0336","4487"
"D0336","50945"
"D0337","860"
"D0338","4693"
"D0339","1161"
"D0339","2074"
"D0340","1565"
"D0341","6197"
"D0342","157680"
"D0343","5243"
"D0344","114548"
"D0345","5080"
"D0345","6469"
"D0346","25788"
"D0346","8438"
"D0346","8915"
"D0346","5782"
"D0346","7048"
"D0346","6714"
"D0346","27030"
"D0346","5795"
"D0346","4953"
"D0346","4595"
"D0346","8313"
"D0346","701"
"D0346","2033"
"D0346","5157"
"D0346","5290"
"D0346","7157"
"D0346","324"
"D0346","581"
"D0346","1499"
"D0346","1630"
"D0346","4163"
"D0346","4893"
"D0346","4436"
"D0346","4292"
"D0346","5378"
"D0346","5395"
"D0346","2956"
"D0346","2261"
"D0346","201163"
"D0346","673"
"D0346","10395"
"D0346","5320"
"D0346","595"
"D0346","699"
"D0347","5979"
"D0348","2652"
"D0348","5956"
"D0348","611"
"D0350","3998"
"D0351","4726"
"D0351","91647"
"D0352","6103"
"D0352","2978"
"D0352","24"
"D0352","23746"
"D0352","3000"
"D0352","57096"
"D0352","1406"
"D0354","29929"
"D0354","10195"
"D0354","8813"
"D0354","9526"
"D0354","79087"
"D0354","79053"
"D0354","85365"
"D0354","79796"
"D0354","55343"
"D0354","2683"
"D0354","91949"
"D0354","1798"
"D0354","56052"
"D0355","152"
"D0355","153"
"D0356","5340"
"D0357","6899"
"D0358","2201"
"D0359","84059"
"D0360","4312"
"D0361","1371"
"D0362","335"
"D0362","7045"
"D0362","4070"
"D0362","30813"
"D0362","1296"
"D0362","200576"
"D0362","11081"
"D0364","25836"
"D0365","4205"
"D0365","19"
"D0365","9365"
"D0365","5444"
"D0365","5445"
"D0365","4314"
"D0366","3476"
"D0367","2908"
"D0368","9563"
"D0368","3290"
"D0369","3265"
"D0370","1548"
"D0372","5728"
"D0372","657"
"D0374","1374"
"D0374","1376"
"D0376","6329"
"D0377","30813"
"D0378","5077"
"D0379","2263"
"D0380","1947"
"D0382","56172"
"D0383","2263"
"D0383","4488"
"D0384","3897"
"D0385","859"
"D0388","5621"
"D0388","3119"
"D0389","54658"
"D0390","64127"
"D0390","9231"
"D0391","2263"
"D0391","2261"
"D0392","122042"
"D0392","3640"
"D0394","3110"
"D0395","2006"
"D0395","10516"
"D0395","538"
"D0396","3848"
"D0397","1540"
"D0398","1491"
"D0399","1080"
"D0400","1497"
"D0401","6519"
"D0401","11136"
"D0402","257054"
"D0404","488"
"D0405","3295"
"D0406","2070"
"D0406","1729"
"D0406","4647"
"D0406","7007"
"D0406","1302"
"D0406","5459"
"D0406","4627"
"D0406","71"
